,username,tweets,hashtags,retweets,mentions
129,TMManiac,#ChennaiMicro,#ChennaiMicro,1,
130,TMManiac,#ChennaiMicro https://twitter.com/prabhu_sr/status/673147782648107010,#ChennaiMicro,0,
131,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,1,
132,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
133,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
134,TMManiac,#ChennaiMicro https://twitter.com/poeticgooner/status/673141297436164099,#ChennaiMicro,0,
135,TMManiac,#ChennaiRainsHelp https://twitter.com/anandj_/status/673138671181172736,#ChennaiRainsHelp,0,
136,TMManiac,#ChennaiMicro #ChennaiRainsHelp https://twitter.com/AidOffered/status/673138732497633280,#ChennaiMicro #ChennaiRainsHelp,0,
137,TMManiac,#ChennaiMicro #ChennaiRainsHelp,#ChennaiMicro #ChennaiRainsHelp,0,
138,TMManiac,#CuddaloreRains,#CuddaloreRains,0,
139,TMManiac,#ChennaiMicro https://twitter.com/Sibi_Sathyaraj/status/673081967013793792,#ChennaiMicro,0,
140,TMManiac,#ChennaiRainsHelp https://twitter.com/AidOffered/status/673050519363977216,#ChennaiRainsHelp,0,
141,TMManiac,#volunteersforchennai,#volunteersforchennai,0,
142,TMManiac,#ChennaiMicro https://twitter.com/escapecinemas/status/673047810254614528,#ChennaiMicro,0,
143,TMManiac,#CuddaloreRains,#CuddaloreRains,0,
144,TMManiac,#ChennaiMicro https://twitter.com/Ashik_Ali2606/status/673040607481217024,#ChennaiMicro,0,
145,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
146,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
147,TMManiac,@iamVikramPrabhu,,0,@iamVikramPrabhu
148,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
149,TMManiac,@ajithFC @ThalaAjith_FC @Actor_Vijay @SuriyaFansClub Pls Collect and distribute! Will help mainly in slum areas #ChennaiRainsHelp,#ChennaiRainsHelp,0,@ajithFC @ThalaAjith_FC @Actor_Vijay @SuriyaFansClub
150,TMManiac,@ajithFC @ThalaAjith_FC @Actor_Vijay @SuriyaFansClub Pls give your old banners &amp; Flexes to t affected people will be helpful in many ways!,,0,@ajithFC @ThalaAjith_FC @Actor_Vijay @SuriyaFansClub
151,TMManiac,#CuddaloreRains,#CuddaloreRains,0,
152,TMManiac,#ChennaiRescue,#ChennaiRescue,0,
153,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673027633706233856,#ChennaiMicro,0,
154,TMManiac,#ChennaiMicro @RJ_Balaji https://twitter.com/AidOffered/status/673027414776143872,#ChennaiMicro,0,@RJ_Balaji
155,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
156,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
157,TMManiac,#volunteersforchennai,#volunteersforchennai,0,
158,TMManiac,#volunteersforchennai https://twitter.com/AidOffered/status/673025597593923584,#volunteersforchennai,0,
159,TMManiac,@rajakumaari https://twitter.com/AidOffered/status/673025151974309888,,0,@rajakumaari
160,TMManiac,#ChennaiMicro @RJ_Balaji https://twitter.com/AidOffered/status/673024069269262336,#ChennaiMicro,0,@RJ_Balaji
161,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673023552430342144,#ChennaiMicro,1,
162,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
163,TMManiac,#volunteersforchennai,#volunteersforchennai,1,
164,TMManiac,#CuddaloreRains https://twitter.com/AidOffered/status/673022581255962624,#CuddaloreRains,0,
165,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673022436250488832,#ChennaiMicro,0,
166,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673022269711511552,#ChennaiMicro,0,
167,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673021864168394752,#ChennaiMicro,0,
