,username,tweets,hashtags,retweets,mentions
68,Actor_Siddharth,We have more vehicles tomorrow and we have a bigger team. It will be a better day. Stay strong #Chennai Please help us. #chennaimicro,#Chennai #chennaimicro,1386,
69,Actor_Siddharth,Requirements - Food (rice based - minimum 200) . Water (packets/bottles) . Blankets (PRIORITY). Please contact us. #chennaimicro @RJ_Balaji,#chennaimicro,859,@RJ_Balaji
70,Actor_Siddharth,Special salute to the jain temple volunteers. You people are angels over 1000kgs of cooked food given today. #TNflood #chennaimicro,#TNflood #chennaimicro,1832,
71,Actor_Siddharth,So many young female volunteers on the roads helping the affected. Chennai is in good hands. We can do more. Will post needs in some time.,,963,
72,Actor_Siddharth,"There are so many volunteers fighting for #Chennai Very proud of the solidarity we saw today. Hats off to police, navy, and corporation too.",#Chennai,1205,
73,Actor_Siddharth,Sorry we missed a lot of sos messages because of network crash. Continue to send information to #ChennaiMicro @rj_balaji,#ChennaiMicro,416,@RJ_Balaji
74,Actor_Siddharth,@anbknaga on our way. Thank you.,,32,@anbknaga
75,Actor_Siddharth,It's pouring again. We are losing connectivity. Evening meals are being arranged. We need water. Please contact with leads. #ChennaiMicro,#ChennaiMicro,1075,
76,Actor_Siddharth,@anbknaga contact info,,13,@anbknaga
77,Actor_Siddharth,@sandeep_prabhaa @RJ_Balaji contact info,,11,@sandeep_prabhaa @RJ_Balaji
78,Actor_Siddharth,It would be very useful if the govt declared emergency today. The police on ground share this sentiment. chaos on the roads. #TNFlood,#TNFlood,713,
79,Actor_Siddharth,Urgent. Need 1000 water packets. Please contact us immediately. #ChennaiMicro #TNflood,#ChennaiMicro #TNflood,845,
80,Actor_Siddharth,@prithinarayanan @RJ_Balaji check dm prithi,,20,@prithinarayanan @RJ_Balaji
81,Actor_Siddharth,If anyone has innova or Scorpio cars to spare please contact us. We need more vehicles. #TNflood #chennaimicro,#TNflood #chennaimicro,1420,
82,Actor_Siddharth,@ram22april yes we can,,11,@ram22april
83,Actor_Siddharth,More food packets needed for lunch. Will pick up. Rice items only. Urgent. #TNflood #chennaimicro,#TNflood #chennaimicro,906,
84,Actor_Siddharth,@poojthejooj they are fine.,,20,@poojthejooj
